line,hour,day_of_week,month,is_weekend,time_category,is_peak_hour,is_noon_peak,is_peak_day,day_peak_weight,office_occupancy,is_strike,line_status,disruption_level
Bakerloo,6,Monday,January,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,6,Monday,January,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,7,Monday,January,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,7,Monday,January,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,8,Monday,January,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,8,Monday,January,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,9,Monday,January,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,9,Monday,January,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,10,Monday,January,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,10,Monday,January,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,12,Monday,January,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,12,Monday,January,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,13,Monday,January,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,13,Monday,January,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,14,Monday,January,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,14,Monday,January,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,16,Monday,January,0,afternoon,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,16,Monday,January,0,afternoon,1,0,0,0.6,0.415,1,1,High
Bakerloo,17,Monday,January,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,17,Monday,January,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,18,Monday,January,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,18,Monday,January,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,19,Monday,January,0,evening_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,19,Monday,January,0,evening_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,20,Monday,January,0,evening_peak,0,0,0,0.6,0.415,0,1,Low
Bakerloo,20,Monday,January,0,evening_peak,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,22,Monday,January,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,22,Monday,January,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,6,Monday,February,0,night,0,0,0,0.6,0.415,0,1,Low
Bakerloo,6,Monday,February,0,night,0,0,0,0.6,0.415,1,1,Medium
Bakerloo,7,Monday,February,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,7,Monday,February,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,8,Monday,February,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,8,Monday,February,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,9,Monday,February,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,9,Monday,February,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,10,Monday,February,0,morning_peak,1,0,0,0.6,0.415,0,1,Medium
Bakerloo,10,Monday,February,0,morning_peak,1,0,0,0.6,0.415,1,1,High
Bakerloo,12,Monday,February,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,12,Monday,February,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,13,Monday,February,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
Bakerloo,13,Monday,February,0,noon_peak,1,1,0,0.6,0.415,1,1,High
Bakerloo,14,Monday,February,0,noon_peak,1,1,0,0.6,0.415,0,1,Medium
